"Code Reference"," English"," Arabic"
"PopupInfo_ListInfo_TotalTroop "," جميع القوات:"," All Troops:"
"PopupInfo_ListInfo_TotalSpell "," الأعشاب الجاهزة: ~totalSpell~/~currentSpell~"," Herbs Ready: ~currentSpell~/~totalSpell~"
"PopupInfo_ListInfo_ClanTroop "," القوات الموجودة بالداخل:"," Troops Inside:"
"PopupInfo_UpgradeInfo_UpgradeTime "," زمن التطوير"," Upgrade Time"
"PopupInfo_UpgradeInfo_UnlocksSpell "," إلغاء قفل العشب:"," Unlocks Herb:"
"PopupInfo_UpgradeInfo_UnlocksUnit "," إلغاء قفل الوحدة:"," Unlocks Unit:"
"PopupInfo_UpgradeInfo_UnlocksBuildings "," إلغاء قفل المباني:"," Unlocks Buildings:"
"PopupInfo_UpgradeInfo_Note "," ملاحظة!"," Note!"
"PopupInfo_UpgradeInfo_NoteLabel "," يجب أن تقوم بتطوير ~name~ إلى المستوى ~requiredLevel~"," You need to upgrade your ~name~ to level ~requiredLevel~"
"PopupInfo_CommonInfo_Defense_Label1 "," النطاق:"," Range:"
"PopupInfo_CommonInfo_Defense_Label2 "," نوع الضرر:"," Damage Type:"
"PopupInfo_CommonInfo_Defense_Label3 "," الأهداف:"," Targets:"
"PopupInfo_CommonInfo_Defense_Label4 "," الهدف المفضل:"," Favorite Target:"
"PopupCreateSpell_Title "," إصنع الأعشاب"," Make Herbs"
"PopupCreateSpell_SpellInfoTitle "," ~spellName~ <المستوى ~level~>"," ~spellName~ <Level ~level~>"
"PopupCreateSpell_HintLabel "," إصنع أعشابًا قوية يمكن استخدامها عند مهاجمة قرى الأعداء"," Create powerful herbs that can be used when attacking enemy villages"
"PopupCreateSpell_TotalTime "," إجمالي الوقت"," Total Time"
"PopupCreateSpell_FinishNow "," عجل العملية:"," Finish Now"
"PopupCreateSpell_RequiredLevel "," المستوى ~level~ من متجر",""
"العطار","",""
"مطلوب"""," Level ~level~ Herbalist's Shop required",""
"PopupCreateSpell_ComingSoon "," قريبًا"," Coming"
"soon","",""
"PopupCreateSpell_SpellInfo_TimeToCreate "," الوقت اللازم للتصنيع:"," Time to create:"
"PopupCreateSpell_SpellInfo_Targets "," الأهداف:"," Targets:"
"PopupCreateSpell_SpellInfo_DamageTypeLabel "," نوع الضرر:"," Damage type:"
"PopupCreateSpell_SpellInfo_HealTypeLabel "," نوع تضميد الجراح:"," Heal type:"
"PopupCreateSpell_SpellInfo_EffectTypeLabel "," نوع الأثر:"," Effect type:"
"Tipbox_BtnViewClan "," القبيلة"," View tribe"
"Tipbox_BtnVisit "," زيارة"," Visit"
"Tipbox_BtnPromoteElder "," قم بالترقية إلى شيخ القبيلة"," Promote to tribe Sheikh"
"Tipbox_BtnPromoteLeader "," قم بالترقية إلى أمير القبيلة"," Promote to tribe Emir"
"Tipbox_BtnVisitDemote "," نزل رتبته إلى عضو القبيلة"," Demote to tribe member"
"Tipbox_BtnKickOut "," إطرد"," Kick out"
"PopupTraining_Title "," تدريب ~unitNum~"," Train ~unitNum~"
"PopupTraining_UnitInfoTitle "," ~unitName~ <مستوى ~unitLevel~>"," ~unitName~ <Level ~unitLevel~>"
"PopupTraining_UnitInfo_FavoriteTarget "," الهدف المفضل:"," Favorite target:"
"PopupTraining_UnitInfo_DamageType "," نوع الضرر:"," Damage type:"
"PopupTraining_UnitInfo_Targets "," الأهداف:"," Targets:"
"PopupTraining_UnitInfo_HousingSpace "," مساحة السكن:"," Housing space:"
"PopupTraining_UnitInfo_TrainingTime "," وقت التدريب:"," Training time:"
"PopupTraining_UnitInfo_MovementSpeed "," سرعة الحركة:"," Movement speed:"
"PopupTraining_CreateUnit_TroopCapacityLabel "," قدرة القوات بعد التدريب:"," Troop capacity after training:"
"PopupTraining_CreateUnit_FinishTraining "," إنهاء التدريب"," Finish Training"
"PopupTraining_CreateUnit_HintLabel "," تلميح: اضغط مع الاستمرار على الوحدة لتدريب العديد من القوات"," Hint: Tap And Hold Down Unit Icon To Train Multiple Troops"
"PopupTraining_CreateUnit_FullHintTitle "," مناطق التجمع ممتلئة!"," Staging Areas Full!"
"PopupTraining_CreateUnit_FullHintLabel "," قم بتطوير أو بناء منطقة تجمع لتسكين المزيد من القوات، ",""
"أو إرسالهم للقتال!"," Upgrade or build Staging Area to house more troops,",""
"or send them to fight!","",""
"PopupTraining_CreateUnit_BarrackLevelRequired "," ساحات التدريب بالمستوى ~level~ مطلوبة"," Level ~level~ Training Grounds required"
"PopupTraining_CreateUnit_ComingSoon "," قريبًا!"," Coming Soon!"
"PopupInbox_DefenseLogTitle "," سجل الدفاع"," Defense Log"
"PopupInbox_AttackLogTitle "," سجل الهجوم"," Attack Log"
"PopupInbox_InboxTitle "," البريد الوارد"," Inbox"
"PopupInbox_BattleLogLabel1 "," الخصم:"," Opponent"
"PopupInbox_BattleLogLabel2 "," الحصيلة:"," Outcome"
"PopupInbox_NoNewMessageContent "," بمجرد إعادة بناءك لمجلس القبيلة، سوف تتلقى دعوات القبيلة هنا"," Once you've rebuilt the Tribe Majlis, you'll receive tribe invitations here"
"PopupInbox_NoNewMessageTitle "," لا توجد رسائل جديدة حاليًا"," No New Messages Currently"
"PopupInbox_Result_DefenseLost "," خسر دفاعك"," Your defense lost"
"PopupInbox_Result_DefenseWon "," انتصر دفاعك"," Your defense won"
"PopupInbox_Result_AttackLost "," خسرت"," You lost"
"PopupInbox_Result_AttackWon "," فزت"," You won"
"PopupInbox_Result_BtnReplay "," إعادة"," Replay"
"PopupInbox_Result_BtnRevenge "," انتقام"," Revenge"
"PopupInbox_Result_ReplayNotAvailable "," الإعادة غير متاحة"," Replay not available"
"PopupInbox_Result_RevengeNotAvailable "," الانتقام غير متاح"," Revenge not available"
"PopupClan_ClanContent_ClanName "," اسم القبيل"," Tribe name"
"PopupClan_ClanContent_Symbol "," الراية"," Flag"
"PopupClan_ClanContent_Description "," الوصف"," Description"
"PopupClan_ClanContent_ClanType "," نوع القبيلة"," Tribe type"
"PopupClan_ClanContent_TrophiesNum "," الحد الأدنى من الخناجر اللازمة للإنضمام"," Minimum daggers to join"
"PopupClan_ClanContent_BtnBrowse "," تصفح"," Browse"
"PopupClan_SearchClanContent_SearchClan "," بحث عن القبائل:"," Search tribes:"
"PopupClan_SearchClanContent_SearchNotice "," الرجاء كتابة الأحرف الأولى من اسم القبيلة التي تريد البحث عنها"," Please type the first letters of the tribe you want to search"
"PopupClan_SearchClanContent_SearchBtn "," بحث"," Search"
"PopupClan_SearchClanContent_NoResultFound "," لا توجد نتائج للبحث"," No search results found"
"PopupClan_SearchClanContent_DisplayResultFound "," عرض نتائج البحث عن ""~searchInput~"""," Displaying search results for ""~searchInput~"""
"PopupClan_ClanRow_TotalPoints "," إجمالي النقاط:"," Total points:"
"PopupClan_ClanRow_Members "," الأعضاء:"," Members:"
"PopupClan_ClanRow_Type "," النوع:"," Type:"
"PopupClan_ClanRow_RequiredTrophies "," الخناجر المطلوبة:"," Required daggers:"
"PopupClan_ClanRow_ViewClanRow_TroopsDonated "," القوات التي تم التبرع بها"," Troops donated"
"PopupClan_ClanRow_ViewClanRow_TroopsReceived "," القوات التي تم تلقيها"," Troops received"
"PopupClan_ClanContent_ClanType_Public "," يمكن لأي شخص الانضمام"," Anyone Can Join"
"PopupClan_ClanContent_ClanType_Closed "," مغلق"," Closed"
"PopupClan_ClanContent_ClanType_InviteOnly "," دعوة فقط"," Invite Only"
"PopupClan_ClanContent_MemberType_Leader "," أمير القبيلة"," Tribe Emir"
"PopupClan_ClanContent_MemberType_Elder "," شيخ القبيلة"," Tribe Sheikh"
"PopupClan_ClanContent_MemberType_Member "," عضو في القبيلة"," Tribe Member"
"ClanTap_JoinClan "," الانضمام للقبيلة"," Join Tribe"
"ClanTap_CreateClan "," إنشاء قبيلة"," Create Tribe"
"ClanTap_MyClan "," قبيلتي"," My Tribe"
"ClanTap_EditClan "," تعديل القبيلة"," Edit Tribe"
"ClanTap_SearchClan "," البحث عن قبيلة"," Search Tribes"
"PopupFriend_Title "," الأصدقاء"," Friends"
"PopupFriend_BtnConnectFacebook "," الاتصال بالفيسبوك"," Connect to facebook"
"UIPopupConfirm_Title_AreYouSure "," هل أنت متأكد؟"," Are you sure?"
"UIPopupConfirm_Title_EndBattle "," إنهاء المعركة"," End Battle"
"UIPopupConfirm_Title_ShieldActive "," الدرع يشتغل"," Armor is active"
"UIPopupConfirm_Title_LeaveClan "," مغادرة القبيلة؟"," Leave Tribe?"
"UIPopupConfirm_Title_RequestTroop "," اطلب قوات"," Request Troops"
"UIPopupConfirm_Title_StopRemoval "," وقف الإزالة؟"," Stop Removal?"
"UIPopupConfirm_Title_Surrender "," استسلام؟"," Surrender?"
"UIPopupConfirm_Title_ChangeLanguage "," إعدادات اللغة"," Language settings"
"UIPopupConfirm_ChangeLanguage "," هل أنت متأكد من تغيير إعدادات اللغة إلى ~language~؟"," Are you sure to change the language settings to ~language~?"
"UIPopupConfirm_CancelBuilding "," إلغاء البناء سيعيد إليك 50٪ فقط من التكلفة."," Do you really want to stop constructing ~buildingName~? Only 50% of the cost will be refunded."
"UIPopupConfirm_CancelSpell "," إلغاء الأعشاب في قائمة الانتظار سيعيد إليك 50٪ فقط من التكلفة."," Canceling herbs in the queue will return only 50% of cost."
"UIPopupConfirm_DemoteToClanMember "," تنزيل رتبة ~name~ ليصبح عضو من أعضاء القبيلة؟"," Demote ~name~ to Tribe Member?"
"UIPopupConfirm_EndBattle "," أيها الشيخ، هل أنت متأكد من رغبتك في إنهاء القتال الآن؟"," Sheikh, are you sure you want to end the fight now?"
"UIPopupConfirm_EnterFightScreen "," مهاجمة لاعبين آخرين تتسبب في تعطيل درعك وقدرة اللاعبين الآخرين على مهاجمتك، هل أنت متأكد؟"," Attacking other players will disable your armor, and another players will be able to attack you. Are you sure?"
"UIPopupConfirm_KickoutClanMember "," طرد: ~name~؟"," Kick out: ~name~?"
"UIPopupConfirm_LeaveClan "," هل ترغب في المغادرة؟"," Do you really want to leave?"
"UIPopupConfirm_PromoteToClanElder "," رقي ~name~ ليكون شيخ القبيلة؟"," Promote ~name~ to Tribe Sheikh?"
"UIPopupConfirm_PromoteToClanLeader "," رقي ~name~ ليكون أمير القبيلة؟"," Promote ~name~ to Tribe Emir?"
"UIPopupConfirm_RequestTroop "," aaa"," aaa"
"UIPopupConfirm_Revenge "," يتسبب الانتقام في تعطيل درعك، وقدرة اللاعبين الآخرين على مهاجمتك. هل أنت متأكد؟"," Revenging will disable your armor, and another players will be able to attack you. Are you sure?"
"UIPopupConfirm_Sell "," هل ترغب في بيع ~name~ مقابل~price~ لـ ~resourceType~؟"," Do you really want to sell ~name~ FOR ~price~ ~resourceType~?"
"UIPopupConfirm_SendJoinClan "," aaa"," aaa"
"UIPopupConfirm_SendMail "," إرسال بريد"," Send Mail"
"UIPopupConfirm_StopRemoveObstacle "," هل ترغب في وقف إزالة ~name~؟"," Do you really want to stop removing ~name~?"
"UIPopupConfirm_Surrender "," أيها الشيخ، هل أنت متأكد من رغبتك في إعطاء الأمر بالتراجع؟ سيهزمون جيشنا!"," Sheikh, are you sure you want to give the order to retreat? Our army will be defeated!"
"BtnEdit "," تعديل"," Edit"
"BtnLeave "," مغادرة"," Leave"
"BtnJoin "," انضم"," Join"
"BtnCancel "," إلغاء"," Cancel"
"BtnOkay "," موافق"," Okay"
"BtnAttack "," إهجم!"," Attack!"
"BtnGroundAir "," أرض وجو"," Ground & Air"
"BtnGround "," أرض"," Ground"
"BtnCollect "," جمع"," Collect"
"BtnCreate "," إنشاء"," Create"
"BtnFinishNow "," عجل العملية:"," Finish now"
"BtnFinishRegen "," ضمد"," Heal"
"BtnGuard "," حراسة"," Guard"
"BtnInfo "," معلومات"," Info"
"BtnRemove "," إزالة"," Remove"
"BtnRequestTroops "," اطلب قوات"," Request troops"
"BtnResearch "," إبحث!"," Research"
"BtnSell "," بيع"," Sell"
"BtnSleep "," نوم"," Sleep"
"BtnTrain "," درّب!"," Train!"
"BtnXBowFull "," رصاصة كاملة"," Full bullet"
"BtnXBowReload "," إعادة تحميل"," Reload"
"BtnAccept "," قبول"," Accept"
"BtnReject "," رفض"," Reject"
"BtnDonate "," تبرع"," Donate"
"FlyText_UnitCannotPlace "," لا يمكن وضع الوحدة هنا"," Cannot place unit here"
"FlyText_NoFreeBuilder "," البناي مشغول"," Carpenter is occupied"
"FlyText_CapacityMaximum "," السعة القصوى"," Maximum capacity!"
"FlyText_NotEnoughGem "," لا تملك ما يكفي من اللآلئ!"," You do not have enough pearls!"
"FlyText_ShieldNotAvailableToBuy "," الدرع غير متوفر للشراء"," Armor is not available to buy"
"FlyText_MaximumBuilding "," لقد بنيت الحد الأقصى من هذه المباني!"," YOU'VE ALREADY BUILT THE MAXIMUM AMOUNT OF THESE BUILDINGS!"
"FlyText_DontHaveEnoughRoom "," لا تملك مساحة كافية في منطقة التجمع!"," You don't have enough room in the Staging Area!"
"FlyText_XBowFull "," تم تعبئة المدفع التلقائي بالكامل!"," Cannon is fully loaded!"
"FlyText_AlreadyBoosted "," هذا المبنى تم تدعيمه!"," This building is already being boosted!"
"Flytext_AlreadyInClan "," أنت في قبيلة"," You are already in a Tribe"
"FlyText_ClanFull "," القبيلة ممتلئة"," Tribe is full"
"FlyText_ClanClosed "," القبيلة مغلقة"," Tribe is closed"
"FlyText_SelectOtherUnit "," اختر وحدة مختلفة"," Select a different unit"
"FlyText_NoMoreTroop "," لا يوجد المزيد من القوات لنشرها"," There are no more troops to place"
"FlyText_SpellFactoryFull "," متجر العطار ممتليء"," Herbalist's shop is full"
"FlyText_UnitMaximumLevel "," الوحدة في أقصى مستوى لها"," Unit is already at maximum level"
"FlyText_UpgradeInProgress "," التطوير في قيد التنفيذ"," Upgrade is already in progress"
"FlyText_NeedMoreTroop "," أنت بحاجة إلى المزيد من القوات!"," You need more troops!"
"FlyText_SpellFactoryRequired "," المطلوب مستوى ~level~ لمتجر العطار"," Level ~level~ herbalist's shop required"
"FlyText_WaitForSendRequestTroop "," انتظر قبل إرسال طلب آخر للحصول على القوات!"," Wait before sending another request for troops!"
"FlyText_WaitForSendRequestJoinClan "," انتظر قبل إرسال طلب آخر للإنضمام إلى هذه القبيلة!"," Wait before sending another request to join this tribe!"
"FlyText_TownhallLevelRequired "," المطلوب مستوى ~level~ للديوان"," Diwan level ~level~ required"
"FlyText_UpgradeTownHallToUnlock "," طور الديوان إلى مستوى ~level~ لإلغاء القفل!"," Upgrade Diwan to level ~level~ to unlock!"
"FlyText_UpgradeTownHallToBuildMore "," طور الديوان إلى مستوى ~level~ لبناء المزيد!"," Upgrade Diwan to level ~level~ to build more!"
"FlyText_TroopSent "," تم إرسال القوات"," Troop has been sent"
"FlyText_LevelBarrackRequired "," المطلوب مستوى ~level~ لساحات التدريب"," Level ~level~ Training Grounds required"
"FlyText_UpgradeResourceStorage "," قم ببناء أو تطوير مخزن ~resourceType~"," Build more or upgrade your ~resourceType~ resource storage"
"FlyText_Laboratory_LevelRequired "," المطلوب مستوى ~level~ لخيمة أبو صقر"," Level ~level~ Abu Saqer's Tent required"
"FlyText_InClan "," أنت في ""~clanName~"""," You have joined ""~clanName~"""
"FlyText_AchievementComplete "," لقد حققت إنجازًا! تلقيت ~rewardGem~ لآلئ"," Achievement Completed! You received ~rewardGem~ pearls"
"FlyText_SpellFactoryIsBoosting "," هذا المبنى يتم تدعيمه"," This building is already being boosted"
"FlyText_TroopRequestSent "," تم إرسال طلب قوات"," Troop request has been sent"
"FlyText_RemoveObstacleFoundGem "," لقد عثرت على لؤلؤة من ~name~!"," You found a pearl from the ~name~!"
"FlyText_RemoveObstacleFoundMoreGems "," لقد عثرت على ~gemNum~ من اللآلئ من ~name~!"," You found ~gemNum~ pearls from the ~name~!"
"FlyText_BuildDarkElixirStorageBefore "," يجب بناء مخزن نفط قبل بناء حافرة النفط!"," Must build Oil Storage before building Oil Derrick!"
"FlyText_ClanNameTooShort "," اسم القبيلة أقصر من الحد المطلوب!"," Tribe name is too short!"
"FlyText_AddEmail "," إضافة بريد إلكتروني إلى حساب..."," Adding e-mail to account..."
"FlyText_GetTroop "," لقد تلقيت قواتَا من ~name~"," You received ~unit~ from ~name~!"
"FlyText_ClanCasteFull "," مجلس القبيلة ممتلئ!"," Tribe Majlis is full!"
"Resource_GOLD "," ذهب"," Gold"
"Resource_WATER "," مياه"," Water"
"Resource_GEM "," لآلئ"," Pearl"
"Resource_DARK_WATER "," نفط"," Oil"
"TextCreating "," إنشاء"," Creating"
"TextTraining "," تدريب"," Training"
"TextProducing "," الانتاج"," Production"
"TextPerHour "," في الساعة"," per hour"
"TextLevel "," المرحلة"," Level"
"TextBroken "," مكسور"," Broken"
"TextTrain "," درّب!"," Train!"
"TextFull "," ممتلئ"," Full"
"TextStopTrain "," ممتلئ"," Full"
"TextResearch "," إبحث!"," Research"
"TextCreate "," إنشاء"," Create"
"TextNew "," جديد"," New"
"TextNone "," لا شيء"," None"
"TextReturnHome "," العودة للقرية"," Home"
"TextRange "," بلاط"," Tiles"
"TextTarget "," الهدف:"," Target:"
"TextEmpty "," فارغ"," Empty"
"TextLowAmmo "," انخفاض الذخيرة"," Low Ammo"
"AskToJoinClan "," قبول طلب الانضمام؟"," Accept join request?"
"ThankForTheTroops "," شكرًا على القوات!"," Thank you for the troops!"
"ReceiveXp "," لقد تلقيت ~xpNum~ من نقاط الخبرة!"," You received ~xpNum~ xp!"
"ChatPanel_LabelTribe "," محادثة القبيلة"," Tribe Chat"
"ChatPanel_LabelGlobe "," محادثة الجميع"," Global Chat"
"ChatPanel_AcceptedBy "," تم قبولها من قبل ~name~"," Accepted By ~name~"
"ChatPanel_RejectedBy "," تم رفضها من قبل ~name~"," Rejected By ~name~"
"ChatPanel_JoinClan "," انضم للقبيلة"," has joined tribe"
"ChatPanel_LeftClan "," غادر القبيلة"," has left the tribe"
"ChatPanel_PromoteElder "," تمت ترقيته ليكون شيخ القبيلة بواسطة ~name~"," was promoted by ~name~"
"ChatPanel_PromoteLeader "," تمت ترقيته ليكون أمير القبيلة بواسطة ~name~"," was promoted by ~name~"
"ChatPanel_DemoteMember "," تم تخفيض عضويتة في القبيلة بواسطة ~name~"," was demoted by ~name~"
"ChatPanel_KickOut "," تم طرده بواسطة ~name~"," was kicked out by ~name~"
"ChatPanel_You "," أنت"," You"
"ChatPanel_NoClan_Label1 "," انضم لقبيلة أو إنشيء قبيلة لتكن أقوى."," Join or create a tribe and get stronger."
"ChatPanel_NoClan_Label2 "," يساعد أعضاء القبيلة بعضهم البعض ويمكنهم إرسال قوات تعزيزية."," Tribemates help each other and can send reinforcement troops."
"Campaign_Title1 "," المرحلة 1"," Level 1"
"Campaign_Title2 "," المرحلة 2"," Level 2"
"Campaign_Title3 "," المرحلة 3"," Level 3"
"Campaign_Title4 "," المرحلة 4"," Level 4"
"Campaign_Title5 "," المرحلة 5"," Level 5"
"Campaign_Title6 "," المرحلة 6"," Level 6"
"Campaign_Title7 "," المرحلة 7"," Level 7"
"Campaign_Title8 "," المرحلة 8"," Level 8"
"Campaign_Title9 "," المرحلة 9"," Level 9"
"Campaign_Title10 "," المرحلة 10"," Level 10"
"Campaign_Title11 "," حصن المستعرون"," Colonial Fort"
"Campaign_Title12 "," المرحلة 11"," Level 11"
"Campaign_Title13 "," المرحلة 12"," Level 12"
"Campaign_Title14 "," المرحلة 13"," Level 13"
"Campaign_Title15 "," المرحلة 14"," Level 14"
"Campaign_Title16 "," المرحلة 15"," Level 15"
"Campaign_Title17 "," المرحلة 16"," Level 16"
"Campaign_Title18 "," المرحلة 17"," Level 17"
"Campaign_Title19 "," المرحلة 18"," Level 18"
"Campaign_Title20 "," قاعدة الجيش الأسود"," Black Army Base"
"Campaign_Title21 "," المرحلة 19"," Level 19"
"Campaign_Title22 "," المرحلة 20"," Level 20"
"Campaign_Title23 "," المرحلة 21"," Level 21"
"Campaign_Title24 "," المرحلة 22"," Level 22"
"Campaign_Title25 "," المرحلة 23"," Level 23"
"Campaign_Title26 "," المرحلة 24"," Level 24"
"Campaign_Title27 "," المرحلة 25"," Level 25"
"Campaign_Title28 "," المرحلة 26"," Level 26"
"Campaign_Title29 "," المرحلة 27"," Level 27"
"Campaign_Title30 "," المرحلة 28"," Level 28"
"Campaign_Title31 "," المرحلة 29"," Level 29"
"Campaign_Title32 "," المرحلة 30"," Level 30"
"Campaign_Title33 "," المرحلة 31"," Level 31"
"Campaign_Title34 "," المرحلة 32"," Level 32"
"Campaign_Title35 "," المرحلة 33"," Level 33"
"Campaign_Title36 "," المرحلة 34"," Level 34"
"Campaign_Title37 "," المرحلة 35"," Level 35"
"Campaign_Title38 "," المرحلة 36"," Level 36"
"Campaign_Title39 "," المرحلة 37"," Level 37"
"Campaign_Title40 "," المرحلة 38"," Level 38"
"Campaign_Title41 "," المرحلة 39"," Level 39"
"Campaign_Title42 "," المرحلة 40"," Level 40"
"Campaign_Title43 "," المرحلة 41"," Level 41"
"Campaign_Title44 "," المرحلة 42"," Level 42"
"Campaign_Title45 "," المرحلة 43"," Level 43"
"Campaign_Title46 "," المرحلة 44"," Level 44"
"Campaign_Title47 "," المرحلة 45"," Level 45"
"Campaign_Title48 "," المرحلة 46"," Level 46"
"Campaign_Title49 "," المرحلة 47"," Level 47"
"Campaign_Title50 "," المرحلة 48"," Level 48"
"PopupRebuildClanCastle_Title "," إعادة بناء مجلس القبيلة"," Rebuild Tribe Majlis"
"PopupRebuildClanCastle_Label1 "," انضم للقبائل"," Join tribes"
"PopupRebuildClanCastle_Label2 "," انضم للقبيلة لصنع حلفاء جدد وتلقي تعزيزات وومساعدات من زملائك في القبيلة."," Join a tribe to make new allies, receive reinforcements and help your tribe mates in return."
"PopupRebuildClanCastle_Label3 "," أنشئ قبيلتك الخاصة للعب مع الأصدقاء وقم بتجنيد أعضاء جدد!"," Create your own tribe to play with friends, recruit new members and make your mark on the realm!"
"DefaultText_TypeHere "," اكتب هنا"," Type here"
"DefaultText_Help "," النجدة! النجدة!"," I need reinforcement troops"
"TargetType_GROUND "," أرض"," Ground"
"TargetType_TOTAL "," أرض وجو"," Ground & Air"
"TargetType_AIR "," جوًا"," Air"
"DamageType_SINGLE "," هدف واحد"," Single target"
"DamageType_SPLASH "," رش"," Splash"
"DamageType_AREA_SPLASH "," رش المنطقة"," Area Damage"
"PreferredTarget_RESOURCES "," الموارد (الأضرار × ~damageBonus~)"," Resources (Damage x ~damageBonus~)"
"PreferredTarget_WALL "," الجدران (الأضرار × ~damageBonus~)"," Walls (Damage x ~damageBonus~)"
"PreferredTarget_DEFENSES "," الدفاع (الأضرار × ~damageBonus~)"," Defenses (Damage x ~damageBonus~)"
"PreferredTarget_ANY "," أي منهم"," Any"
"PopupResearch_NoUpgrading_TextLabel1 "," حدد ما ترغب في ترقيته"," Select What You Want To Upgrade"
"PopupResearch_NoUpgrading_TextLabel2 "," قم بتمرير الشاشة بأصابعك لرؤية قائمة الترقيات بأكملها"," SWIPE THE SCREEN TO SEE THE WHOLE LIST OF UPGRADES"
"PopupResearch_Upgrading_UpgradingLalbel "," تطوير"," Upgrading"
"PopupResearch_Upgrading_FinishUpgrade "," إنهاء التطوير"," Finish upgrade"
"PopupResearch_Upgrading_UnitInfo "," ~name~ <المستوى ~level~>"," ~name~ <Level ~level~>"
"PopupResearch_Title1 "," اختر ما ترغب في ترقيته"," Choose what to upgrade"
"PopupResearch_Title2 "," التطوير إلى المستوى ~level~?"," Upgrade to level ~level~?"
"PopupResearch_Title3 "," التطوير في قيد التنفيذ"," Upgrade In Progress"
"AttackLog1 "," انك تتعرض للهجوم"," You are under attack"
"AttackLog2 "," الرجاء العودة بعد ~time~"," Please come back after ~time~"
"Notification_TROOPS_READY "," قواتك مستعدين للمعركة!"," Your troops are ready for battle!"
"Notification_BUILDING_UPGRADED "," تم الانتهاء من بناء ~name~!"," ~name~ construction finished!"
"Notification_COME_BACK "," يا الشيخ، مقاتلينك في حاجة إليك!"," Sheikh! Come back, your fighters need you!"
"Notification_KING_READY "," فارس مستعد لمعركة أخرى!"," Faris is ready for another fight!"
"Notification_QUEEN_READY "," أبو صقر مستعد لمعركة أخرى!"," Abu Saqer is ready for another fight!"
"Notification_SHIELD_RUN_OUT "," أيها الشيخ، لقد أوشكت دروعنا على النفاذ!"," Sheikh, our armor is about to run out!"
"RateManager_Title "," هل تستمتع باللعبة؟"," Enjoying Tribal Rivals?"
"RateManager_Content "," إذا كان الأمر كذلك، الرجاء تقييمنا في متجر التطبيقات حتى نتمكن من صنع المزيد من الألعاب!"," If so, please rate us on the App Store so we can keep making more games!"
"Time_Day "," ي"," d"
"Time_Hour "," س"," h"
"Time_Minute "," د"," m"
"Time_Second "," ث"," s"
"Help_Title "," مساعدة"," Help"
"Help_BtnLatestUpdates "," موقع لمبة"," Lumba Website"
"Help_BtnContact "," منتدى فزعة"," Forum"
"Help_BtnReport "," الإبلاغ عن مشكلة"," Report an issue"
"Help_BtnPurchasingIssue "," مشكلة شراء"," Purchasing Issue"
"Help_BtnConnectionIssue "," مشكلة اتصال"," Connection Issue"
"Help_BtnOtherProblem "," مشكلة أخرى"," Other Problem"
"Help_BtnFeedback "," التقييم"," Feedback"
"Count_HelpText "," 4"," 4"
"Help_Title_1 "," كيف يمكنني التحكم في وحداتي أثناء المعركة؟"," How can I control my units in battle?"
"Help_Title_2 "," ماذا حدث للقوات التي نجت من المعارك؟"," What happended to the troops that survived the battles?"
"Help_Title_3 "," ما هو الدرع وكيف يعمل؟"," What is the armor and how does it work?"
"Help_Title_4 "," لقد اشتريت لآلئ للتو ولكن لم استلمها. ماذا يمكنني أن أفعل؟"," I have just purchase pearls but they never came through. What can I do?"
"Help_Info_2 "," بعد انتهاء القتال، تتحول جميع القوات المنتشرة في ساحة المعركة مرة أخرى إلى مياه وتهبط إلى داخل الأرض. ",""
"","",""
"يعد استنزاف القوات هو جوهر الاستراتيجية المتبعة في اللعبة. فكر في قواتك باعتبارها موارد يتم استخدامها بحكمة. ينبغي عليك التخطيط بعناية لكل معركة وحاول استخدام العدد المناسب من النوع المناسب من القوات. إن الدفع بجميع القوات للقتال دون النظر إلى التكلفة مقابل المنفعة يمكن أن يؤدي إلى انتصار باهظ الثمن، حيث ينتهي بك المطاف إلى إنفاق موارد أكثر من الموارد التي حصلت عليها."," After combat, all troops deployed on battlefield turn back into water and soak into the earth.",""
"","",""
"Expending troops to win battles is at the heart of strategy in Tribal Rivals. Think of your troops as resources to be spent wisely. You should plan every battle carefully and try to use the right number of the right type of troops. Throwing all your troops to combat without considering the cost versus benefit can lead to a Pyrrhic victory, where you end up spending more resources than you gained.","",""
"Help_Info_3 "," يمنع الدرع الآخرين من مهاجمتك لفترة من الوقت، وتخسر الدرع عند انتهاء هذه الفترة أو عند مهاجمتك للاعب آخر. عندما يتم تدمير قريتك بسبب هجوم للعدو، تحصل تلقائيًا على درع جديد لمدة 12 ساعة، كما يمكنك شراء دروع تدوم لفترة أطول من السوق."," The armor prevents other people from attacking you for a period of time. You lose the armor when the time runs out, or when you attack another player. When your village is destroyed by an enemy attack, you automatically get a new armor for 12 hours. You can also purchase longer lasting armors from the souq."
"Help_Info_4 "," في حين تتم معظم المعاملات بسلاسة، إلا أنه أحيانًا قد يكون رد مزود خدمة الدفع أو السيرفر أبطأ من المعتاد أو قد يؤدي إلى حدوث أخطاء. برجاء الانتظار بعض الوقت لمعرفة ما إذا كان سيصل أم لا، وإذا لم ينجح هذا قم بالخروج من اللعبة ثم أعد تشغيلها. ينبغي إضافة اللآلئ إلى رصيدك.",""
"","",""
